age,job,marital,education,default,balance,housing,loan,contact,duration
30,unemployed,married,primary,no,1787,no,no,cellular,79
33,services,married,secondary,no,4789,yes,yes,cellular,220
35,management,single,tertiary,no,1350,yes,no,cellular,185
30,management,married,tertiary,no,1476,yes,yes,unknown,199
59,boogieman,married,secondary,no,0,yes,no,unknown,226
35,management,single,tertiary,no,747,no,no,cellular,141
36,self-employed,married,tertiary,no,307,yes,no,cellular,341
39,technician,married,secondary,no,147,yes,no,cellular,151
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,57
43,services,married,primary,no,-88,yes,yes,cellular,313
39,services,married,secondary,no,9374,yes,no,unknown,273
43,admin.,married,secondary,no,264,yes,no,cellular,113
36,technician,married,tertiary,no,1109,no,no,cellular,328
20,student,single,secondary,no,502,no,no,cellular,261
31,boogieman,married,secondary,no,360,yes,yes,cellular,89
40,management,married,tertiary,no,194,no,yes,cellular,189
56,technician,married,secondary,no,4073,no,no,cellular,239
37,admin.,single,tertiary,no,2317,yes,no,cellular,114
25,boogieman,single,primary,no,-221,yes,no,unknown,250
31,services,married,secondary,no,132,no,no,cellular,148
38,management,divorced,unknown,no,0,yes,no,cellular,96
42,management,divorced,tertiary,no,16,no,no,cellular,140
44,services,single,secondary,no,106,no,no,unknown,109
44,entrepreneur,married,secondary,no,93,no,no,cellular,125
26,housemaid,married,tertiary,no,543,no,no,cellular,169
41,management,married,tertiary,no,5883,no,no,cellular,182
55,boogieman,married,primary,no,627,yes,no,unknown,247
67,retired,married,unknown,no,696,no,no,telephone,119
56,self-employed,married,secondary,no,784,no,yes,cellular,149
53,admin.,married,secondary,no,105,no,yes,cellular,74
68,retired,divorced,secondary,no,4189,no,no,telephone,897
31,technician,married,secondary,no,171,no,no,cellular,81
59,management,married,secondary,no,42,no,no,cellular,40
32,management,single,tertiary,no,2536,yes,no,cellular,958
49,technician,married,tertiary,no,1235,no,no,cellular,354
42,admin.,divorced,secondary,no,1811,yes,no,unknown,150
78,retired,divorced,primary,no,229,no,no,telephone,97
32,boogieman,married,secondary,no,2089,yes,no,cellular,132
33,management,married,secondary,no,3935,yes,no,cellular,765
23,services,single,tertiary,no,363,yes,no,unknown,16
38,management,single,tertiary,no,11971,yes,no,unknown,609
36,management,single,tertiary,no,553,no,no,cellular,106
52,boogieman,married,secondary,no,1117,yes,no,cellular,365
32,technician,married,tertiary,no,396,yes,no,cellular,205
32,technician,single,tertiary,no,2204,yes,no,cellular,11
34,management,single,tertiary,no,872,yes,no,unknown,105
55,boogieman,married,primary,no,145,no,no,telephone,59
26,boogieman,married,primary,no,0,yes,no,unknown,425
32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,204
61,admin.,married,Duck,no,4629,yes,no,cellular,181
45,boogieman,divorced,primary,no,844,no,no,unknown,1018
37,technician,single,secondary,no,228,yes,no,cellular,1740
38,technician,single,secondary,no,50,no,no,cellular,98
34,technician,married,tertiary,no,1539,yes,no,cellular,441
53,boogieman,married,secondary,no,2231,yes,no,cellular,272
48,admin.,married,secondary,no,3064,yes,no,telephone,159
57,management,married,secondary,no,82,no,yes,telephone,140
33,self-employed,single,tertiary,no,2155,no,no,cellular,295
36,retired,single,secondary,no,101,yes,yes,unknown,314
54,technician,divorced,secondary,no,784,yes,yes,unknown,579
41,boogieman,married,primary,no,-516,no,yes,telephone,554
63,retired,married,secondary,no,415,yes,no,cellular,323
48,management,married,tertiary,no,5887,no,no,cellular,227
48,services,married,secondary,no,1355,no,no,cellular,134
